Space Invaders,1978,Taito,Legacy Cellphone / Arcade / Nintendo Entertainment System (NES) / Sega Saturn / Atari 5200 / SG-1000 / iOS / Atari 2600 / WonderSwan / Game Boy,free
Fantasy Zone,1986,Sega Enterprises,Arcade / MSX / TurboGrafx-16/PC Engine / Nintendo Entertainment System (NES) / Sharp X68000 / Sega Saturn / Wii / Sega Master System / Nintendo 3DS,free
OutRun,1986,Sega AM2,Amstrad CPC / Atari ST-STE / PC DOS / Sega Game Gear / Amiga / ZX Spectrum / MSX / Arcade / TurboGrafx-16/PC Engine / Sega Saturn / Commodore C64-128 / Sega Mega Drive/Genesis / Sega Master System,free
After Burner II,1987,Sega AM2,Sharp X68000 / PC DOS / Amiga / Sega Saturn / Nintendo 3DS / Atari ST-STE / Sega Mega Drive/Genesis / TurboGrafx-16/PC Engine / PlayStation 2 / Arcade,free
Snatcher,1988,Konami,MSX2 / Sega Saturn / Sega CD / PlayStation / TurboGrafx-16/PC Engine / PC-8801,free
Galaxy Force II,1988,Sega AM2,Atari ST-STE / ZX Spectrum / Wii / Amstrad CPC / Sega Master System / Arcade / Sega Saturn / Commodore C64-128 / PlayStation 2 / Sega Mega Drive/Genesis / FM Towns / Amiga,free
Three Wonders,1991,Capcom,Sega Saturn / PlayStation / Arcade,free
QuackShot: Starring Donald Duck,1991,Sega,Sega Mega Drive/Genesis / Sega Saturn,free
Road Rash,1991,Peakstar Software,Sega Mega Drive/Genesis / Amiga / Sega Saturn / Sega Master System / Game Boy Color / Game Boy / Sega Game Gear,free
Dark Seed,1992,Cyberdreams,Amiga / PC DOS / PlayStation / Sega Saturn / PC (Microsoft Windows) / Mac,free
DOOM,1993,id Software,Atari Jaguar / Linux / 3DO Interactive Multiplayer / Sega Saturn / PC (Microsoft Windows) / Nintendo Switch / Game Boy Advance / PC DOS / Super Nintendo Entertainment System (SNES) / Xbox One / Sega 32X / iOS / Mac / Xbox 360 / Super Famicom / PlayStation 4,free
