Suikoden,1995,Konami Computer Entertainment Tokyo,PlayStation / PC (Microsoft Windows) / Sega Saturn,free,-
Destruction Derby,1995,Looking Glass Studios,PlayStation / Sega Saturn / PC DOS,free,-
Strikers 1945,1995,Psikyo,PlayStation / Arcade / Sega Saturn / Nintendo Switch / PC (Microsoft Windows),free,-
Ultimate Mortal Kombat 3,1995,Midway,Arcade / Sega Saturn / Super Nintendo Entertainment System (SNES) / Xbox 360 / Sega Mega Drive/Genesis / Nintendo DS / Game Boy Advance,free,-
Mega Man X3,1995,Capcom,PC (Microsoft Windows) / Super Famicom / Super Nintendo Entertainment System (SNES) / New Nintendo 3DS / Wii U / PlayStation / Sega Saturn / Legacy Cellphone,free,-
Worms,1995,Team17,Sega Saturn / PlayStation / Mac / Amiga / Amiga CD32 / PC DOS / Sega Mega Drive/Genesis / PlayStation 3 / PlayStation Portable / Xbox 360 / Super Nintendo Entertainment System (SNES) / PC (Microsoft Windows) / Atari Jaguar,free,-
Crusader: No Remorse,1995,Realtime Associates,Sega Saturn / PC (Microsoft Windows) / PlayStation / PC DOS / Mac,free,-
Earthworm Jim 2,1995,Shiny Entertainment,Sega Mega Drive/Genesis / Wii / Super Nintendo Entertainment System (SNES) / PC (Microsoft Windows) / PlayStation / Sega Saturn / Game Boy Advance,free,-
Street Fighter Alpha: Warrior's Dreams,1995,Capcom,PlayStation / Sega Saturn / PC (Microsoft Windows) / Game Boy Color / Arcade,free,-
Hi-Octane,1995,Bullfrog Productions,PlayStation / Sega Saturn / PC DOS,free,-
Hexen: Beyond Heretic,1995,Atod,PC DOS / PlayStation / PC (Microsoft Windows) / Sega Saturn / Mac,free,-
Prisoner of Ice,1995,Infogrames Europe,PC DOS / PlayStation / Mac / Sega Saturn / PC (Microsoft Windows) / Linux,free,-
Phantasmagoria,1995,Kronos Digital Entertainment,Sega Saturn / PC DOS / PC (Microsoft Windows) / Mac,free,-
Virtua Cop 2,1995,Sega AM2,Dreamcast / Arcade / PC (Microsoft Windows) / Sega Saturn,free,-
Wipeout,1995,Psygnosis,PlayStation / PlayStation 3 / PC DOS / Sega Saturn,free,-
Night Warriors: Darkstalkers' Revenge,1995,Capcom,Sega Saturn / Arcade,free,-
Panzer Dragoon,1995,Sega,Xbox / PlayStation 2 / PC (Microsoft Windows) / Sega Saturn,free,-
The King of Fighters '95,1995,SNK,Game Boy / Neo Geo AES / Neo Geo CD / Neo Geo MVS / Sega Saturn / PlayStation / Nintendo Switch / Wii,free,Iori Yagami/Eiji Kisaragi/Billy Kane/Saisyu Kusanagi/Omega Rugal
Discworld II: Missing Presumed...!?,1996,Perfect Entertainment,Sega Saturn / PlayStation / PC (Microsoft Windows),free,-
Dragon Force,1996,J-Force,Sega Saturn / PlayStation 2 / PlayStation 3,free,-
NHL 97,1996,Visual Concepts,PC (Microsoft Windows) / Super Nintendo Entertainment System (SNES) / PlayStation / Sega Mega Drive/Genesis / Sega Saturn,free,-
Guardian Heroes,1996,Treasure,Sega Saturn / Xbox 360,free,Ginjirou/Han/Randy/Nicole/Serena
Puyo Puyo SUN,1996,Compile,PC (Microsoft Windows) / Game Boy / Nintendo 64 / Sega Saturn / Arcade / Game Boy Color,free,-
Panzer Dragoon II Zwei,1996,Team Andromeda,Sega Saturn,free,Lundi
Duke Nukem 3D,1996,Lobotomy Software,iOS / PlayStation / Sega Saturn / PlayStation 4 / Xbox 360 / Mac / PC (Microsoft Windows) / PlayStation Vita / PlayStation 3 / Sega Mega Drive/Genesis / PC DOS,free,-
Metal Slug,1996,Nazca Corporation,Nintendo Switch / iOS / Wii / Arcade / PC (Microsoft Windows) / Android / Neo Geo CD / Neo Geo MVS / Sega Saturn / PlayStation / Neo Geo AES,free,Marco Rossi/ Tarma Roving/ Allen O'Neil
Tomb Raider,1996,Core Design,Sega Saturn / PC DOS / PlayStation / N-Gage / PC (Microsoft Windows) / PlayStation 3 / PlayStation Portable / PlayStation Vita,free,Lara Croft
Quake,1996,id Software,PC (Microsoft Windows) / Nintendo 64 / Linux / Zeebo / Amiga / Mac / Legacy Cellphone / PC DOS / Sega Saturn,free,-
Nights into Dreams...,1996,Sonic Team,Sega Saturn / PC (Microsoft Windows) / PlayStation 3 / Xbox 360 / PlayStation 2,free,-
Vandal Hearts,1996,Konami,PlayStation / PC (Microsoft Windows) / Sega Saturn,free,Ash Lambert
Warcraft II: Beyond the Dark Portal,1996,Cyberlore Studios,Mac / Sega Saturn / PC (Microsoft Windows) / PC DOS / PlayStation,free,-
Battle Garegga,1996,Raizing,Arcade / Sega Saturn,free,-
Super Puzzle Fighter II Turbo,1996,Backbone Entertainment,PlayStation / Sega Saturn / Arcade,free,-
Lunar: Silver Star Story Complete,1996,Japan Art Media,Sega Saturn / PlayStation / PC (Microsoft Windows) / iOS,free,-
Soviet Strike,1996,Electronic Arts,PlayStation / PlayStation 3 / PlayStation Portable / Sega Saturn,free,-
Magical Drop II,1996,Data East,Wii / Arcade / Neo Geo AES / Sega Saturn / Super Famicom / Neo Geo CD,free,-
X-Men vs. Street Fighter,1996,Capcom,PlayStation / Arcade / Sega Saturn,free,-
Resident Evil,1996,Capcom,Sega Saturn / PlayStation 3 / PlayStation / PC (Microsoft Windows),free,Chris Redfield/ Jill Valentine
Pandemonium!,1996,Toys for Bob,iOS / PC (Microsoft Windows) / Sega Saturn / PlayStation 3 / N-Gage / PlayStation / PlayStation Portable / Legacy Cellphone,free,Fargus
Street Fighter Alpha 2,1996,Capcom,Sega Saturn / Super Nintendo Entertainment System (SNES) / Nintendo 3DS / Arcade / PlayStation / PC (Microsoft Windows) / Wii / Wii U,free,Ryu/ Akuma/ Ken Masters/ Chun-Li/ Cammy
FIFA 97,1996,EA Canada,Sega Saturn / Super Nintendo Entertainment System (SNES) / PC (Microsoft Windows) / PlayStation / Sega Mega Drive/Genesis,free,-
PowerSlave,1996,Lobotomy Software,Sega Saturn / PlayStation / PC DOS,free,-
Mortal Kombat Trilogy,1996,Midway,Sega Saturn / PlayStation / PC DOS / PC (Microsoft Windows) / Nintendo 64,free,-
Wipeout 2097,1996,Psygnosis,PC (Microsoft Windows) / Amiga / Mac / PlayStation / Sega Saturn,free,-
Waku Waku 7,1996,Sunsoft,Neo Geo MVS / Arcade / Nintendo Switch / Wii / Sega Saturn / Neo Geo AES,free,-
The King of Fighters '96,1996,SNK,Nintendo Switch / PlayStation / Neo Geo CD / Neo Geo AES / Wii / Arcade / Sega Saturn / Neo Geo MVS / Game Boy / PlayStation 3,free,-
Dragon Ball Z: The Legend,1996,Bandai,Sega Saturn / PlayStation,free,-
Z,1996,The Bitmap Brothers,iOS / Android / Super Nintendo Entertainment System (SNES) / Sega Saturn / PC DOS / PlayStation,free,-
Shining Force III,1997,Camelot Software Planning,Sega Saturn,free,-
Castlevania: Symphony of the Night,1997,Konami Computer Entertainment Tokyo,iOS / PlayStation Vita / PlayStation 3 / PlayStation Portable / Sega Saturn / Xbox 360 / PlayStation / Android,free,Alucard/ Mari Renard
FIFA: Road to World Cup 98,1997,EA Canada,PC (Microsoft Windows) / Sega Mega Drive/Genesis / Sega Saturn / Game Boy / Super Nintendo Entertainment System (SNES) / Nintendo 64 / PlayStation,free,-
Mega Man X4,1997,Capcom,PC (Microsoft Windows) / PlayStation / Sega Saturn / Legacy Cellphone,free,-
Strikers 1945 II,1997,Psikyo,Android / Arcade / PlayStation / Sega Saturn / iOS / Nintendo Switch,free,-
Pocket Fighter,1997,Capcom,PlayStation / Sega Saturn / WonderSwan,free,-
Herc's Adventures,1997,Big Ape Productions,PlayStation / Sega Saturn,free,-
DoDonPachi,1997,CAVE Interactive,Sega Saturn / PlayStation / Arcade,free,-
The King of Fighters '97,1997,SNK,PlayStation / Neo Geo CD / Sega Saturn / Neo Geo MVS / Arcade / Neo Geo AES / Wii,free,-
Shin Megami Tensei: Devil Summoner - Soul Hackers,1997,Atlus,Nintendo 3DS / PlayStation / Sega Saturn,free,-
NHL 98,1997,EA Canada,Sega Mega Drive/Genesis / PlayStation / Super Nintendo Entertainment System (SNES) / PC (Microsoft Windows) / Sega Saturn,free,-
Marvel Super Heroes vs. Street Fighter,1997,Capcom,PlayStation / Arcade / Sega Saturn,free,-
Darkstalkers 3,1997,Capcom,PlayStation 3 / PlayStation / Arcade / Sega Saturn,free,Demitri Maximoff
Grandia,1997,Game Arts Co. Ltd.,Sega Saturn / PlayStation / PlayStation 3,free,-
The Lost World: Jurassic Park,1997,Dreamworks Interactive,Sega Saturn / PlayStation,free,-
Rampage World Tour,1997,Game Refuge Inc,Nintendo 64 / Game Boy Color / Sega Saturn / PlayStation 3 / PlayStation / Windows Phone,free,-
Radiant Silvergun,1998,Treasure,Sega Saturn / Arcade / Xbox 360,free,-
Panzer Dragoon Saga,1998,Team Andromeda,Sega Saturn,free,-
Street Fighter Alpha 3,1998,Capcom,PlayStation Portable / Dreamcast / PlayStation / Arcade / Game Boy Advance / Sega Saturn,free,-
Death's Door,2021,Acid Nerve,PC (Microsoft Windows) / Xbox One / Xbox Series X|S / PlayStation 5 / PlayStation 4 / Nintendo Switch,free,-
ENDER LILIES: Quietus of the Knights,2021,adglobe,Nintendo Switch / PlayStation 4 / PlayStation 5 / Xbox One / Xbox Series X|S / PC (Microsoft Windows),free,Lily
HUMANKIND,2021,AMPLITUDE Studios,PC (Microsoft Windows) / Google Stadia / Mac,free,-
Guilty Gear: Strive,2021,Arc System Works,Arcade / PlayStation 5 / PC (Microsoft Windows) / PlayStation 4,free,Sol/ Ky/ May/ Axl/ Chipp/ Millia
PAC-MAN 99,2021,Arika,Nintendo Switch,free,-
DEATHLOOP,2021,Arkane Studios,PC (Microsoft Windows) / PlayStation 5,free,Colt Vahn 
Tales of Arise,2021,Bandai Namco Entertainment,Xbox One / PlayStation 4 / PC (Microsoft Windows) / PlayStation 5 / Xbox Series X|S,free,Alphen/ Shionne/ Rinwell/ Law/ Kisara/ Dohalim
Scarlet Nexus,2021,Bandai Namco Studios,PlayStation 5 / PC (Microsoft Windows) / Xbox Series X|S / PlayStation 4 / Xbox One,free,Yuito Sumeragi/Kasane Randall
The Artful Escape,2021,Beethoven & Dinosaur,Xbox Series X|S / PC (Microsoft Windows) / Xbox One,free,-
The Medium,2021,Bloober Team,PlayStation 5 / Xbox Series X|S / PC (Microsoft Windows),free,Marianne
Mario Golf: Super Rush,2021,Camelot,Nintendo Switch,free,-
Marvel's Guardians of the Galaxy,2021,Camelot,Xbox One / Xbox Series X|S / PC (Microsoft Windows) / PlayStation 4 / PlayStation 5,free,Star-Lord/ Drax/ Groot
Monster Hunter Rise,2021,Capcom,PC (Microsoft Windows) / Nintendo Switch,free,-
Monster Hunter Stories 2: Wings of Ruin,2021,Capcom,PC (Microsoft Windows) / Nintendo Switch,free,Ena/ Kayna/ Navirou
Resident Evil Village,2021,Capcom,Xbox One / Google Stadia / PlayStation 4 / Xbox Series X|S / PC (Microsoft Windows) / PlayStation 5,free,Ethan Winters
The Great Ace Attorney Chronicles,2021,Capcom,PC (Microsoft Windows) / Nintendo Switch / PlayStation 4,free,Herlock Sholmes/ Ryunosuke Naruhodo/ Susato Mikotoba
Inscryption,2021,Daniel Mullins Games,PC (Microsoft Windows),free,-
Encased,2021,Dark Crystal Games,PC (Microsoft Windows) / Mac / Xbox One / PlayStation 4 / Nintendo Switch,free,-
