NEO: The World Ends with You,2021,Square Enix,PlayStation 4 / PC (Microsoft Windows) / Nintendo Switch
Narita Boy,2021,Studio Koba,PC (Microsoft Windows) / Linux / Nintendo Switch / Mac / PlayStation 4 / Xbox One
The Dark Pictures Anthology: House of Ashes,2021,Supermassive Games,PC (Microsoft Windows) / Xbox Series X|S / PlayStation 5 / PlayStation 4 / Xbox One
Little Nightmares II,2021,Tarsier Studios,PC (Microsoft Windows) / PlayStation 5 / Xbox Series X|S / Google Stadia / Xbox One / PlayStation 4 / Nintendo Switch
Bravely Default II,2021,Team Asano,PC (Microsoft Windows) / Nintendo Switch
Pokémon Unite,2021,Tencent Games,Android / iOS / Nintendo Switch
NieR Replicant ver.1.22474487139...,2021,Toylogic,PlayStation 4 / PC (Microsoft Windows) / Xbox One
Back 4 Blood,2021,Turtle Rock Studios,Xbox Series X|S / PlayStation 5 / PlayStation 4 / Xbox One / PC (Microsoft Windows)
Scott Pilgrim vs. the World: The Game - Complete Edition,2021,Ubisoft Chengdu,PlayStation 4 / Xbox One / PlayStation 5 / Amazon Fire TV / Google Stadia / PC (Microsoft Windows) / Nintendo Switch / Xbox Series X|S
Far Cry 6,2021,Ubisoft Toronto,Google Stadia / PlayStation 4 / PlayStation 5 / Xbox Series X|S / Xbox One / PC (Microsoft Windows)
Rain on Your Parade,2021,Unbound Creations LLC,Xbox One / Nintendo Switch / Mac / Linux / PC (Microsoft Windows) / Xbox Series X|S
Last Stop,2021,Variable State,PC (Microsoft Windows) / PlayStation 4 / Nintendo Switch / Xbox One / PlayStation 5 / Xbox Series X|S
Knockout City,2021,Velan Studios,PlayStation 4 / PC (Microsoft Windows) / Xbox One / PlayStation 5 / Xbox Series X|S / Nintendo Switch
Serin Fate,2021,Vethergen,PC (Microsoft Windows)
Unpacking,2021,Witch Beam,Nintendo Switch / Linux / Mac / PC (Microsoft Windows) / Xbox One
Strangeland,2021,Wormwood Studios,Mac / PC (Microsoft Windows)
Dyson Sphere Program,2021,Youthcat Studio,PC (Microsoft Windows)
Disco Elysium: The Final Cut,2021,ZA/UM,PC (Microsoft Windows) / PlayStation 5 / Nintendo Switch / Xbox One / Xbox Series X|S / PlayStation 4 / Mac / Google Stadia
Tactics Ogre: Let Us Cling Together,1995,Quest,PlayStation / Super Nintendo Entertainment System (SNES) / Wii / Sega Saturn / PlayStation Portable
Shining Force III,1997,Camelot Software Planning,Sega Saturn
Castlevania: Symphony of the Night,1997,Konami Computer Entertainment Tokyo,iOS / PlayStation Vita / PlayStation 3 / PlayStation Portable / Sega Saturn / Xbox 360 / PlayStation / Android
Discworld II: Missing Presumed...!?,1996,Perfect Entertainment,Sega Saturn / PlayStation / PC (Microsoft Windows)
Dragon Force,1996,J-Force,Sega Saturn / PlayStation 2 / PlayStation 3
Radiant Silvergun,1998,Treasure,Sega Saturn / Arcade / Xbox 360
NHL 97,1996,Visual Concepts,PC (Microsoft Windows) / Super Nintendo Entertainment System (SNES) / PlayStation / Sega Mega Drive/Genesis / Sega Saturn
Darius Gaiden,1994,Taito,PlayStation / Arcade / PC (Microsoft Windows) / Sega Saturn
Panzer Dragoon Saga,1998,Team Andromeda,Sega Saturn
Guardian Heroes,1996,Treasure,Sega Saturn / Xbox 360
Command & Conquer,1995,Westwood Studios,PlayStation / PC DOS / Nintendo 64 / Mac / Sega Saturn / PC (Microsoft Windows)
Puyo Puyo SUN,1996,Compile,PC (Microsoft Windows) / Game Boy / Nintendo 64 / Sega Saturn / Arcade / Game Boy Color
Transport Tycoon Deluxe,1995,Chris Sawyer,Sega Saturn / PlayStation / PC DOS
DOOM,1993,id Software,Atari Jaguar / Linux / 3DO Interactive Multiplayer / Sega Saturn / PC (Microsoft Windows) / Nintendo Switch / Game Boy Advance / PC DOS / Super Nintendo Entertainment System (SNES) / Xbox One / Sega 32X / iOS / Mac / Xbox 360 / Super Famicom / PlayStation 4
Discworld,1995,Perfect Entertainment,Sega Saturn / PC DOS / PlayStation
Virtua Fighter 2,1994,Sega AM2,PlayStation 3 / Wii / PC (Microsoft Windows) / PlayStation 2 / Sega Saturn / Arcade / Sega Mega Drive/Genesis / Xbox 360
Revolution X,1994,Midway Games,Super Nintendo Entertainment System (SNES) / Sega Saturn / Arcade / PC (Microsoft Windows) / PlayStation / Sega Mega Drive/Genesis
DonPachi,1995,CAVE Interactive,Sega Saturn / PlayStation / PlayStation 3 / Arcade
FIFA: Road to World Cup 98,1997,EA Canada,PC (Microsoft Windows) / Sega Mega Drive/Genesis / Sega Saturn / Game Boy / Super Nintendo Entertainment System (SNES) / Nintendo 64 / PlayStation
Mega Man X4,1997,Capcom,PC (Microsoft Windows) / PlayStation / Sega Saturn / Legacy Cellphone
Policenauts,1994,Konami,PC-98 / Sega Saturn / PlayStation / 3DO Interactive Multiplayer / PlayStation 3
Panzer Dragoon II Zwei,1996,Team Andromeda,Sega Saturn
Tetris Plus,1995,Jaleco Ltd.,Arcade / Game Boy / Sega Saturn / PlayStation
Strikers 1945 II,1997,Psikyo,Android / Arcade / PlayStation / Sega Saturn / iOS / Nintendo Switch
Duke Nukem 3D,1996,Lobotomy Software,iOS / PlayStation / Sega Saturn / PlayStation 4 / Xbox 360 / Mac / PC (Microsoft Windows) / PlayStation Vita / PlayStation 3 / Sega Mega Drive/Genesis / PC DOS
Metal Slug,1996,Nazca Corporation,Nintendo Switch / iOS / Wii / Arcade / PC (Microsoft Windows) / Android / Neo Geo CD / Neo Geo MVS / Sega Saturn / PlayStation / Neo Geo AES
Tomb Raider,1996,Core Design,Sega Saturn / PC DOS / PlayStation / N-Gage / PC (Microsoft Windows) / PlayStation 3 / PlayStation Portable / PlayStation Vita
Quake,1996,id Software,PC (Microsoft Windows) / Nintendo 64 / Linux / Zeebo / Amiga / Mac / Legacy Cellphone / PC DOS / Sega Saturn
Nights into Dreams...,1996,Sonic Team,Sega Saturn / PC (Microsoft Windows) / PlayStation 3 / Xbox 360 / PlayStation 2
Pocket Fighter,1997,Capcom,PlayStation / Sega Saturn / WonderSwan
Herc's Adventures,1997,Big Ape Productions,PlayStation / Sega Saturn
Suikoden,1995,Konami Computer Entertainment Tokyo,PlayStation / PC (Microsoft Windows) / Sega Saturn
DoDonPachi,1997,CAVE Interactive,Sega Saturn / PlayStation / Arcade
Fantasy Zone,1986,Sega Enterprises,Arcade / MSX / TurboGrafx-16/PC Engine / Nintendo Entertainment System (NES) / Sharp X68000 / Sega Saturn / Wii / Sega Master System / Nintendo 3DS
Vandal Hearts,1996,Konami,PlayStation / PC (Microsoft Windows) / Sega Saturn
Warcraft II: Beyond the Dark Portal,1996,Cyberlore Studios,Mac / Sega Saturn / PC (Microsoft Windows) / PC DOS / PlayStation
Street Fighter Alpha 3,1998,Capcom,PlayStation Portable / Dreamcast / PlayStation / Arcade / Game Boy Advance / Sega Saturn
Magic Carpet,1994,Bullfrog Productions,PlayStation 3 / PlayStation / Sega Saturn / Mac / PC DOS / PC (Microsoft Windows)
The King of Fighters '97,1997,SNK,PlayStation / Neo Geo CD / Sega Saturn / Neo Geo MVS / Arcade / Neo Geo AES / Wii
Three Wonders,1991,Capcom,Sega Saturn / PlayStation / Arcade
Shin Megami Tensei: Devil Summoner - Soul Hackers,1997,Atlus,Nintendo 3DS / PlayStation / Sega Saturn
Snatcher,1988,Konami,MSX2 / Sega Saturn / Sega CD / PlayStation / TurboGrafx-16/PC Engine / PC-8801
Battle Garegga,1996,Raizing,Arcade / Sega Saturn
Super Puzzle Fighter II Turbo,1996,Backbone Entertainment,PlayStation / Sega Saturn / Arcade
