Death's Door,2022,Acid Nerve,PC (Microsoft Windows) / Xbox One / Xbox Series X|S / PlayStation 5 / PlayStation 4 / Nintendo Switch
ENDER LILIES: Quietus of the Knights,2022,adglobe,Nintendo Switch / PlayStation 4 / PlayStation 5 / Xbox One / Xbox Series X|S / PC (Microsoft Windows)
HUMANKIND,2022,AMPLITUDE Studios,PC (Microsoft Windows) / Google Stadia / Mac
Guilty Gear: Strive,2022,Arc System Works,Arcade / PlayStation 5 / PC (Microsoft Windows) / PlayStation 4
PAC-MAN 99,2022,Arika,Nintendo Switch
DEATHLOOP,2022,Arkane Studios,PC (Microsoft Windows) / PlayStation 5
Tales of Arise,2022,Bandai Namco Entertainment,Xbox One / PlayStation 4 / PC (Microsoft Windows) / PlayStation 5 / Xbox Series X|S
Scarlet Nexus,2022,Bandai Namco Studios,PlayStation 5 / PC (Microsoft Windows) / Xbox Series X|S / PlayStation 4 / Xbox One
The Artful Escape,2022,Beethoven & Dinosaur,Xbox Series X|S / PC (Microsoft Windows) / Xbox One
The Medium,2022,Bloober Team,PlayStation 5 / Xbox Series X|S / PC (Microsoft Windows)
Mario Golf: Super Rush,2022,Camelot,Nintendo Switch
Marvel's Guardians of the Galaxy,2022,Camelot,Xbox One / Xbox Series X|S / PC (Microsoft Windows) / PlayStation 4 / PlayStation 5
Monster Hunter Rise,2022,Capcom,PC (Microsoft Windows) / Nintendo Switch
The Great Ace Attorney Chronicles,2022,Capcom,PC (Microsoft Windows) / Nintendo Switch / PlayStation 4
Monster Hunter Stories 2: Wings of Ruin,2022,Capcom,PC (Microsoft Windows) / Nintendo Switch
Resident Evil Village,2022,Capcom,Xbox One / Google Stadia / PlayStation 4 / Xbox Series X|S / PC (Microsoft Windows) / PlayStation 5
Inscryption,2022,Daniel Mullins Games,PC (Microsoft Windows)
Encased,2022,Dark Crystal Games,PC (Microsoft Windows) / Mac / Xbox One / PlayStation 4 / Nintendo Switch
Life is Strange: True Colors,2022,Deck Nine,Google Stadia / PC (Microsoft Windows) / PlayStation 4 / PlayStation 5 / Nintendo Switch / Xbox One / Xbox Series X|S
Golf Club: Wasteland,2022,Demagog Studios,Nintendo Switch / PC (Microsoft Windows) / PlayStation 4 / Xbox One
Road 96,2022,DigixArt,Nintendo Switch / PC (Microsoft Windows)
Psychonauts 2,2021,Double Fine Productions,Xbox One / PlayStation 4 / PC (Microsoft Windows) / Xbox Series X|S
Kena: Bridge of Spirits,2021,Ember Lab,PC (Microsoft Windows) / PlayStation 4 / PlayStation 5
Loop Hero,2021,Four Quarters,Nintendo Switch / PC (Microsoft Windows) / Mac / Linux
Maquette,2021,Graceful Decay,PC (Microsoft Windows) / PlayStation 4 / PlayStation 5
No More Heroes III,2021,Grasshopper Manufacture,Nintendo Switch / PC (Microsoft Windows)
It Takes Two,2021,Hazelight Studios,Xbox One / PC (Microsoft Windows) / PlayStation 4 / PlayStation 5 / Xbox Series X|S
Returnal,2021,Housemarque,PlayStation 5
Overboard!,2021,inkle,PC (Microsoft Windows) / Mac / iOS / Nintendo Switch
Ratchet & Clank: Rift Apart,2021,Insomniac Games,PlayStation 5
HITMAN 3,2020,IO Interactive,Xbox One / Google Stadia / PC (Microsoft Windows) / PlayStation 5 / Xbox Series X|S / PlayStation 4
Valheim,2020,Iron Gate AB,Linux / PC (Microsoft Windows)
Totally Accurate Battle Simulator,2020,Landfall Games,Mac / Xbox One / PC (Microsoft Windows)
Cyber Shadow,2020,Mechanical Head Studios,Xbox One / PlayStation 5 / Nintendo Switch / PlayStation 4 / PC (Microsoft Windows)
Metroid Dread,2020,MercurySteam,Nintendo Switch
Hot Wheels Unleashed,2020,Milestone,Xbox One / PC (Microsoft Windows) / Xbox Series X|S / PlayStation 5 / PlayStation 4 / Nintendo Switch
The Forgotten City,2020,Modern Storyteller,PlayStation 5 / Xbox One / PC (Microsoft Windows) / Nintendo Switch / PlayStation 4 / Xbox Series X|S
Lust from Beyond,2020,Movie Games Lunarium,PC (Microsoft Windows)
The Ascent,2020,Neon Giant,Xbox Series X|S / Xbox One / PC (Microsoft Windows)
